Amount,Cds Code,$ in 000's,District Name,District Code,# Enrolled,Ethnic,Function1 (copy),Function,Function Code,Grads,# G12 Enrollment,Number of Records,# UC Grads,Year1
17877442.27,1611760000000,17877.44227,Fremont Unified,61176,646,4,Accounts Receivable,Accounts Receivable,9200,134,145,1,62,1213
14266920.02,1611760000000,14266.92002,Fremont Unified,61176,1609,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,337,376,1,100,1213
230976.79,1611760000000,230.97679,Fremont Unified,61176,1609,5,Classified Support Salaries,Classified Support Salaries,2200,337,376,1,100,1213
17877442.27,1611760000000,17877.44227,Fremont Unified,61176,1609,5,Accounts Receivable,Accounts Receivable,9200,337,376,1,100,1213
14266920.02,1611760000000,14266.92002,Fremont Unified,61176,457,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,77,96,1,17,1213
230976.79,1611760000000,230.97679,Fremont Unified,61176,457,6,Classified Support Salaries,Classified Support Salaries,2200,77,96,1,17,1213
17877442.27,1611760000000,17877.44227,Fremont Unified,61176,457,6,Accounts Receivable,Accounts Receivable,9200,77,96,1,17,1213
14266920.02,1611760000000,14266.92002,Fremont Unified,61176,2090,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,492,526,1,248,1213
230976.79,1611760000000,230.97679,Fremont Unified,61176,2090,7,Classified Support Salaries,Classified Support Salaries,2200,492,526,1,248,1213
17877442.27,1611760000000,17877.44227,Fremont Unified,61176,2090,7,Accounts Receivable,Accounts Receivable,9200,492,526,1,248,1213
14266920.02,1611760000000,14266.92002,Fremont Unified,61176,196,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,45,49,1,22,1213
230976.79,1611760000000,230.97679,Fremont Unified,61176,196,9,Classified Support Salaries,Classified Support Salaries,2200,45,49,1,22,1213
17877442.27,1611760000000,17877.44227,Fremont Unified,61176,196,9,Accounts Receivable,Accounts Receivable,9200,45,49,1,22,1213
4688651.66,1611920000000,4688.65166,Hayward Unified,61192,41,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,9,11,1,4,1213
23756.31,1611920000000,23.75631,Hayward Unified,61192,41,1,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,9,11,1,4,1213
385962.02,1611920000000,385.96202,Hayward Unified,61192,41,1,Books and Other Reference Materials,Books and Other Reference Materials,4200,9,11,1,4,1213
211511.32,1611920000000,211.51132,Hayward Unified,61192,41,1,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,9,11,1,4,1213
179178.18,1611920000000,179.17818,Hayward Unified,61192,41,1,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,9,11,1,4,1213
3439219,1611920000000,3439.219,Hayward Unified,61192,41,1,Accounts Receivable,Accounts Receivable,9200,9,11,1,4,1213
4688651.66,1611920000000,4688.65166,Hayward Unified,61192,623,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,106,123,1,76,1213
23756.31,1611920000000,23.75631,Hayward Unified,61192,623,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,106,123,1,76,1213
385962.02,1611920000000,385.96202,Hayward Unified,61192,623,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,106,123,1,76,1213
211511.32,1611920000000,211.51132,Hayward Unified,61192,623,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,106,123,1,76,1213
179178.18,1611920000000,179.17818,Hayward Unified,61192,623,2,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,106,123,1,76,1213
3439219,1611920000000,3439.219,Hayward Unified,61192,623,2,Accounts Receivable,Accounts Receivable,9200,106,123,1,76,1213
4688651.66,1611920000000,4688.65166,Hayward Unified,61192,288,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,74,85,1,35,1213
23756.31,1611920000000,23.75631,Hayward Unified,61192,288,3,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,74,85,1,35,1213
385962.02,1611920000000,385.96202,Hayward Unified,61192,288,3,Books and Other Reference Materials,Books and Other Reference Materials,4200,74,85,1,35,1213
211511.32,1611920000000,211.51132,Hayward Unified,61192,288,3,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,74,85,1,35,1213
179178.18,1611920000000,179.17818,Hayward Unified,61192,288,3,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,74,85,1,35,1213
3439219,1611920000000,3439.219,Hayward Unified,61192,288,3,Accounts Receivable,Accounts Receivable,9200,74,85,1,35,1213
4688651.66,1611920000000,4688.65166,Hayward Unified,61192,587,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,113,121,1,73,1213
23756.31,1611920000000,23.75631,Hayward Unified,61192,587,4,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,113,121,1,73,1213
385962.02,1611920000000,385.96202,Hayward Unified,61192,587,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,113,121,1,73,1213
211511.32,1611920000000,211.51132,Hayward Unified,61192,587,4,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,113,121,1,73,1213
179178.18,1611920000000,179.17818,Hayward Unified,61192,587,4,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,113,121,1,73,1213
3439219,1611920000000,3439.219,Hayward Unified,61192,587,4,Accounts Receivable,Accounts Receivable,9200,113,121,1,73,1213
4688651.66,1611920000000,4688.65166,Hayward Unified,61192,3605,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,617,767,1,258,1213
23756.31,1611920000000,23.75631,Hayward Unified,61192,3605,5,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,617,767,1,258,1213
385962.02,1611920000000,385.96202,Hayward Unified,61192,3605,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,617,767,1,258,1213
211511.32,1611920000000,211.51132,Hayward Unified,61192,3605,5,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,617,767,1,258,1213
179178.18,1611920000000,179.17818,Hayward Unified,61192,3605,5,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,617,767,1,258,1213
3439219,1611920000000,3439.219,Hayward Unified,61192,3605,5,Accounts Receivable,Accounts Receivable,9200,617,767,1,258,1213
4688651.66,1611920000000,4688.65166,Hayward Unified,61192,1042,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,195,244,1,57,1213
23756.31,1611920000000,23.75631,Hayward Unified,61192,1042,6,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,195,244,1,57,1213
385962.02,1611920000000,385.96202,Hayward Unified,61192,1042,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,195,244,1,57,1213
211511.32,1611920000000,211.51132,Hayward Unified,61192,1042,6,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,195,244,1,57,1213
179178.18,1611920000000,179.17818,Hayward Unified,61192,1042,6,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,195,244,1,57,1213
3439219,1611920000000,3439.219,Hayward Unified,61192,1042,6,Accounts Receivable,Accounts Receivable,9200,195,244,1,57,1213
4688651.66,1611920000000,4688.65166,Hayward Unified,61192,585,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,108,135,1,58,1213
23756.31,1611920000000,23.75631,Hayward Unified,61192,585,7,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,108,135,1,58,1213
385962.02,1611920000000,385.96202,Hayward Unified,61192,585,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,108,135,1,58,1213
211511.32,1611920000000,211.51132,Hayward Unified,61192,585,7,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,108,135,1,58,1213
179178.18,1611920000000,179.17818,Hayward Unified,61192,585,7,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,108,135,1,58,1213
3439219,1611920000000,3439.219,Hayward Unified,61192,585,7,Accounts Receivable,Accounts Receivable,9200,108,135,1,58,1213
4688651.66,1611920000000,4688.65166,Hayward Unified,61192,165,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,23,28,1,13,1213
23756.31,1611920000000,23.75631,Hayward Unified,61192,165,9,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,23,28,1,13,1213
385962.02,1611920000000,385.96202,Hayward Unified,61192,165,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,23,28,1,13,1213
211511.32,1611920000000,211.51132,Hayward Unified,61192,165,9,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,23,28,1,13,1213
179178.18,1611920000000,179.17818,Hayward Unified,61192,165,9,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,23,28,1,13,1213
3439219,1611920000000,3439.219,Hayward Unified,61192,165,9,Accounts Receivable,Accounts Receivable,9200,23,28,1,13,1213
2514060.96,1612000000000,2514.06096,Livermore Valley Joint Unified,61200,6,0,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,1,1,0,1213
5129462.54,1612000000000,5129.46254,Livermore Valley Joint Unified,61200,6,0,Accounts Receivable,Accounts Receivable,9200,1,1,1,0,1213
2514060.96,1612000000000,2514.06096,Livermore Valley Joint Unified,61200,21,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,7,7,1,4,1213
5129462.54,1612000000000,5129.46254,Livermore Valley Joint Unified,61200,21,1,Accounts Receivable,Accounts Receivable,9200,7,7,1,4,1213
2514060.96,1612000000000,2514.06096,Livermore Valley Joint Unified,61200,215,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,54,58,1,36,1213
5129462.54,1612000000000,5129.46254,Livermore Valley Joint Unified,61200,215,2,Accounts Receivable,Accounts Receivable,9200,54,58,1,36,1213
2514060.96,1612000000000,2514.06096,Livermore Valley Joint Unified,61200,13,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,4,4,1,2,1213
5129462.54,1612000000000,5129.46254,Livermore Valley Joint Unified,61200,13,3,Accounts Receivable,Accounts Receivable,9200,4,4,1,2,1213
2514060.96,1612000000000,2514.06096,Livermore Valley Joint Unified,61200,120,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,27,28,1,18,1213
5129462.54,1612000000000,5129.46254,Livermore Valley Joint Unified,61200,120,4,Accounts Receivable,Accounts Receivable,9200,27,28,1,18,1213
2514060.96,1612000000000,2514.06096,Livermore Valley Joint Unified,61200,1052,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,217,257,1,79,1213
5129462.54,1612000000000,5129.46254,Livermore Valley Joint Unified,61200,1052,5,Accounts Receivable,Accounts Receivable,9200,217,257,1,79,1213
2514060.96,1612000000000,2514.06096,Livermore Valley Joint Unified,61200,71,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,14,13,1,5,1213
5129462.54,1612000000000,5129.46254,Livermore Valley Joint Unified,61200,71,6,Accounts Receivable,Accounts Receivable,9200,14,13,1,5,1213
2514060.96,1612000000000,2514.06096,Livermore Valley Joint Unified,61200,2390,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,663,682,1,376,1213
5129462.54,1612000000000,5129.46254,Livermore Valley Joint Unified,61200,2390,7,Accounts Receivable,Accounts Receivable,9200,663,682,1,376,1213
2514060.96,1612000000000,2514.06096,Livermore Valley Joint Unified,61200,283,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,61,65,1,35,1213
5129462.54,1612000000000,5129.46254,Livermore Valley Joint Unified,61200,283,9,Accounts Receivable,Accounts Receivable,9200,61,65,1,35,1213
3454305.56,1612340000000,3454.30556,Newark Unified,61234,4,0,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,1,1,0,1213
1575938.73,1612340000000,1575.93873,Newark Unified,61234,4,0,Accounts Receivable,Accounts Receivable,9200,1,1,1,0,1213
3454305.56,1612340000000,3454.30556,Newark Unified,61234,6,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,2,2,1,1,1213
1575938.73,1612340000000,1575.93873,Newark Unified,61234,6,1,Accounts Receivable,Accounts Receivable,9200,2,2,1,1,1213
3454305.56,1612340000000,3454.30556,Newark Unified,61234,241,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,54,56,1,25,1213
1575938.73,1612340000000,1575.93873,Newark Unified,61234,241,2,Accounts Receivable,Accounts Receivable,9200,54,56,1,25,1213
3454305.56,1612340000000,3454.30556,Newark Unified,61234,47,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,9,11,1,1,1213
1575938.73,1612340000000,1575.93873,Newark Unified,61234,47,3,Accounts Receivable,Accounts Receivable,9200,9,11,1,1,1213
3454305.56,1612340000000,3454.30556,Newark Unified,61234,211,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,44,46,1,21,1213
1575938.73,1612340000000,1575.93873,Newark Unified,61234,211,4,Accounts Receivable,Accounts Receivable,9200,44,46,1,21,1213
3454305.56,1612340000000,3454.30556,Newark Unified,61234,984,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,212,252,1,35,1213
1575938.73,1612340000000,1575.93873,Newark Unified,61234,984,5,Accounts Receivable,Accounts Receivable,9200,212,252,1,35,1213
3454305.56,1612340000000,3454.30556,Newark Unified,61234,157,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,23,32,1,4,1213
1575938.73,1612340000000,1575.93873,Newark Unified,61234,157,6,Accounts Receivable,Accounts Receivable,9200,23,32,1,4,1213
3454305.56,1612340000000,3454.30556,Newark Unified,61234,396,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,102,109,1,27,1213
1575938.73,1612340000000,1575.93873,Newark Unified,61234,396,7,Accounts Receivable,Accounts Receivable,9200,102,109,1,27,1213
3454305.56,1612340000000,3454.30556,Newark Unified,61234,69,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,31,34,1,10,1213
1575938.73,1612340000000,1575.93873,Newark Unified,61234,69,9,Accounts Receivable,Accounts Receivable,9200,31,34,1,10,1213
3592996.96,1612420000000,3592.99696,New Haven Unified,61242,5,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,2,2,1,1,1213
172931.15,1612420000000,172.93115,New Haven Unified,61242,5,1,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,2,2,1,1,1213
253254.75,1612420000000,253.25475,New Haven Unified,61242,5,1,Books and Other Reference Materials,Books and Other Reference Materials,4200,2,2,1,1,1213
76073.93,1612420000000,76.07393,New Haven Unified,61242,5,1,Insurance,Insurance,5400,2,2,1,1,1213
6447.91,1612420000000,6.44791,New Haven Unified,61242,5,1,Communications,Communications,5900,2,2,1,1,1213
160392.71,1612420000000,160.39271,New Haven Unified,61242,5,1,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,2,2,1,1,1213
1372269.37,1612420000000,1372.26937,New Haven Unified,61242,5,1,Accounts Receivable,Accounts Receivable,9200,2,2,1,1,1213
3592996.96,1612420000000,3592.99696,New Haven Unified,61242,904,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,225,258,1,155,1213
172931.15,1612420000000,172.93115,New Haven Unified,61242,904,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,225,258,1,155,1213
253254.75,1612420000000,253.25475,New Haven Unified,61242,904,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,225,258,1,155,1213
76073.93,1612420000000,76.07393,New Haven Unified,61242,904,2,Insurance,Insurance,5400,225,258,1,155,1213
6447.91,1612420000000,6.44791,New Haven Unified,61242,904,2,Communications,Communications,5900,225,258,1,155,1213
