Year,CDS_CODE,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,District_Code,Function_Code,Function,Amount
1213,1611190000000,2,325,1506,301,196,61119,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,3,7,69,5,2,61119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,3,7,69,5,2,61119,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,3,7,69,5,2,61119,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,4,84,479,77,30,61119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,4,84,479,77,30,61119,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,4,84,479,77,30,61119,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,5,144,952,112,42,61119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,5,144,952,112,42,61119,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,5,144,952,112,42,61119,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,6,114,862,82,15,61119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,6,114,862,82,15,61119,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,6,114,862,82,15,61119,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,7,264,1480,239,135,61119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,7,264,1480,239,135,61119,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,7,264,1480,239,135,61119,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,9,11,223,8,4,61119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,9,11,223,8,4,61119,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,9,11,223,8,4,61119,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611270000000,2,108,388,107,57,61127,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1058343.9699999995
1213,1611270000000,2,108,388,107,57,61127,2200,Classified Support Salaries                                                                                                                                                                                                                               ,408753.7
1213,1611270000000,2,108,388,107,57,61127,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,15571.05
1213,1611270000000,2,108,388,107,57,61127,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,328938.8500000001
1213,1611270000000,2,108,388,107,57,61127,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1161577.9799999995
1213,1611270000000,2,108,388,107,57,61127,9200,Accounts Receivable                                                                                                                                                                                                                                       ,18015623.83
