CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS
10738100000000,Firebaugh-Las Deltas Unified,7,14,135,26,10
10739700000000,Central Unified,0,3,63,4,0
10739700000000,Central Unified,1,8,97,16,8
10739700000000,Central Unified,2,168,1964,302,172
10739700000000,Central Unified,3,3,38,6,2
10739700000000,Central Unified,4,18,173,32,14
10739700000000,Central Unified,5,569,8622,928,250
10739700000000,Central Unified,6,108,1552,152,36
10739700000000,Central Unified,7,253,2781,452,214
10739700000000,Central Unified,9,9,200,10,8
10740000000000,Kerman Unified,1,2,29,4,2
10740000000000,Kerman Unified,2,19,263,32,16
10740000000000,Kerman Unified,5,237,4102,456,130
10740000000000,Kerman Unified,6,2,24,4,2
10740000000000,Kerman Unified,7,43,498,82,32
10751300000000,Mendota Unified,5,154,2972,272,116
10751300000000,Mendota Unified,6,1,3,2,0
10752300000000,Golden Plains Unified,5,125,1874,206,34
10752300000000,Golden Plains Unified,6,1,4,4,0
10752800000000,Sierra Unified,1,20,207,38,6
10752800000000,Sierra Unified,2,2,16,2,0
10752800000000,Sierra Unified,3,1,1,1,0
10752800000000,Sierra Unified,4,1,8,2,2
10752800000000,Sierra Unified,5,21,184,36,6
10752800000000,Sierra Unified,6,2,16,2,0
10752800000000,Sierra Unified,7,102,897,204,84
10754100000000,Riverdale Joint Unified,4,1,5,2,2
10754100000000,Riverdale Joint Unified,5,100,1325,184,118
10754100000000,Riverdale Joint Unified,6,1,18,2,2
10754100000000,Riverdale Joint Unified,7,16,234,30,16
10756000000000,Caruthers Unified,2,14,89,24,18
10756000000000,Caruthers Unified,5,101,1110,186,80
10756000000000,Caruthers Unified,6,2,5,4,2
10756000000000,Caruthers Unified,7,18,174,28,4
10767800000000,Washington Unified,1,2,13,4,0
10767800000000,Washington Unified,2,45,276,78,30
10767800000000,Washington Unified,5,233,2188,384,100
10767800000000,Washington Unified,6,42,458,46,8
10767800000000,Washington Unified,7,26,220,46,28
11101200000000,Glenn County Office of Education,0,0,9,2,2
11101200000000,Glenn County Office of Education,5,12,120,16,0
11101200000000,Glenn County Office of Education,7,20,205,22,0
11101200000000,Glenn County Office of Education,9,1,16,4,0
11626500000000,Princeton Joint Unified,1,2,7,8,0
11626500000000,Princeton Joint Unified,5,11,114,20,8
11626500000000,Princeton Joint Unified,7,8,72,24,4
11626500000000,Stony Creek Joint Unified,1,2,38,8,0
11626500000000,Stony Creek Joint Unified,5,2,10,20,8
11626500000000,Stony Creek Joint Unified,7,4,45,24,4
11626600000000,Willows Unified,1,2,40,2,0
11626600000000,Willows Unified,2,10,86,18,0
11626600000000,Willows Unified,5,54,691,92,2
11626600000000,Willows Unified,7,60,580,102,2
11626600000000,Willows Unified,9,1,9,2,0
11754800000000,Orland Joint Unified,1,2,17,4,2
11754800000000,Orland Joint Unified,2,3,52,4,0
11754800000000,Orland Joint Unified,3,1,3,1,1
11754800000000,Orland Joint Unified,5,96,1346,182,32
11754800000000,Orland Joint Unified,7,69,771,120,18
11754800000000,Orland Joint Unified,9,3,12,6,2
11765600000000,Hamilton Unified,5,42,630,82,32
11765600000000,Hamilton Unified,6,1,3,2,0
11765600000000,Hamilton Unified,7,15,79,30,12
12101200000000,Humboldt County Office of Education,0,2,8,2,2
12101200000000,Humboldt County Office of Education,1,1,20,6,0
12101200000000,Humboldt County Office of Education,2,2,10,4,4
12101200000000,Humboldt County Office of Education,5,2,46,6,4
